Grupa	Podgrupa	Šifra	Naziv Latinski	Naziv		Šifra	Naziv engleski
A00-B99	A00-A09	A00	CHOLERA	KOLERA	1	A00.-	Cholera
A00-B99	A00-A09	A00.0	CHOLERA CLASSICA	KOLERA, UZROČNIK VIBRIO CHOLERAE 01, BIOTIP CHOLERAE	1	A00.0	Cholera due to Vibrio cholerae 01, biovar cholerae
A00-B99	A00-A09	A00.1	CHOLERA EL TOR	KOLERA, UZROČNIK VIBRIO CHOLERAE 01, BIOTIP EL TOR	1	A00.1	Cholera due to Vibrio cholerae 01, biovar eltor
A00-B99	A00-A09	A00.9	CHOLERA, NON SPECIFICATA	KOLERA, NEOZNAČENA	1	A00.9	Cholera, unspecified
A00-B99	A00-A09	A01	FEBRIS TIPHICA ET FEBRIS PARATYPHICA	TIFUSNA GROZNICA I PARATIFUSNA GROZNICA	1	A01.-	Typhoid and paratyphoid fevers
A00-B99	A00-A09	A01.0	TIPHUS ABDOMINALIS	TRBUSNI TIFUS	1	A01.0	Typhoid fever
A00-B99	A00-A09	A01.1	PARATYPHUS A	PARATIFUS A	1	A01.1	Paratyphoid fever A
A00-B99	A00-A09	A01.2	PARATYPHUS B	PARATIFUS B	1	A01.2	Paratyphoid fever B
A00-B99	A00-A09	A01.3	PARATYPHUS C	PARATIFUS C	1	A01.3	Paratyphoid fever C
A00-B99	A00-A09	A01.4	PARATYPHUS, NON SPECIFICATUS	PARATIFUS, NEOZNAČEN	1	A01.4	Paratyphoid fever, unspecified
A00-B99	A00-A09	A02	SALMONELLOSES ALIAE	DRUGE INFEKCIJE UZROKOVANE SALMONELOM	1	A02.-	Other salmonella infections
A00-B99	A00-A09	A02.0	ENTERNITIS SALMONELLOSA	ZAPALJENJE TANKOG CRIJEVA UZROKOVANO SALMONELAMA	1	A02.0	Salmonella enteritis
A00-B99	A00-A09	A02.1	SALMONELLOSIS SEPTICA	SEPSA UZROKOVANA SALMONELAMA	1	A02.1	Salmonella sepsis
A00-B99	A00-A09	A02.2+	INFECTIO PER SALMONELLAM LOCALISATA	LOKALIZOVANA INFEKCIJA SALMONELAMA	1	A02.2	Localized salmonella infections
A00-B99	A00-A09	A02.8	INFECTIO PER SALMONELLAM ALIA, SPECIFICATA	DRUGA OZNAČENA INFEKCIJA SALMONELAMA	1	A02.8	Other specified salmonella infections
A00-B99	A00-A09	A02.9	INFECTIO PER SALMONELLAM, NON SPECIFICATA	SALMONELOZNA INFEKCIJA, NEOZNAČENA	1	A02.9	Salmonella infection, unspecified
A00-B99	A00-A09	A03	SHIGELLOSIS	DIZENTERIJA, UZROČNIK SHIGELLAE	1	A03.-	Shigellosis
A00-B99	A00-A09	A03.0	DYSENTERIA BACILLARIS PER SHIGELLAM DYSENTERIAE	DIZENTERIJA, UZROČNIK SHIGELLA DYSENTERIAE	1	A03.0	Shigellosis due to Shigella dysenteriae
A00-B99	A00-A09	A03.1	DYSENTERIA BACILLARIS PER SHIGELLAM FLEXNERI	DIZENTERIJA, UZROČNIK SHIGELLA FLEXNERI	1	A03.1	Shigellosis due to Shigella flexneri
A00-B99	A00-A09	A03.2	DYSENTERIA BACILLARIS PER SHIGELLAM BOYDI	DIZENTERIJA, UZROČNIK SHIGELLA BOYDI	1	A03.2	Shigellosis due to Shigella boydii
A00-B99	A00-A09	A03.3	DYSENTERIA BACILLARIS PER SHIGELAM SONNEI	DIZENTERIJA, UZROČNIK SHIGELLA SONNEI SHIGELLOSIS D	1	A03.3	Shigellosis due to Shigella sonnei
A00-B99	A00-A09	A03.8	SHIGELLOSIS ALIA	DRUGA DIZENTERIJA	1	A03.8	Other shigellosis
A00-B99	A00-A09	A03.9	SHIGELLOSIS, NON SPECIFICATA	DIZENTERIJA, NEOZNAČENA	1	A03.9	Shigellosis, unspecified
A00-B99	A00-A09	A04	INFECTIONES INTESTINALES BACTERIALES ALIAE	DRUGE INFEKCIJE CRIJEVA UZROKOVANE BAKTERIJAMA	1	A04.-	Other bacterial intestinal infections
A00-B99	A00-A09	A04.0	INFECTIO INTESTINALIS PER ESHERICHIAM COLI ENTEROPATHOGENEM	INFEKCIJA CRIJEVA, UZROČNIK ENTEROPATOGENA ESCHERICHIA COLI	1	A04.0	Enteropathogenic Escherichia coli infection
A00-B99	A00-A09	A04.1	INFECTIO INTESTINALIS PER ESHERICHIAM COLI ENTEROTOXIGENEM	INFEKCIJA CRIJEVA, UZROČNIK ENTEROTOKSIGENA ESCHERICHIA COLI	1	A04.1	Enterotoxigenic Escherichia coli infection
A00-B99	A00-A09	A04.2	INFECTIO INTESTINALIS PER ESHERICHIAM COLI ENTEROINVASIVAM	INFEKCIJA CRIJEVA, UZROČNIK ENTEROINVAZIVNA ESCHERICHIA COLI	1	A04.2	Enteroinvasive Escherichia coli infection
A00-B99	A00-A09	A04.3	INFECTIO INTESTINALIS PER ESHERICHIAM COLI ENTEROHAEMORRAGICAM	INFEKCIJA CRIJEVA, UZROČNIK ENTEROHEMORAGIJSKA ESCHERICHIA COLI	1	A04.3	Enterohaemorrhagic Escherichia coli infection
A00-B99	A00-A09	A04.4	INFECTIO INTESTINALIS PER ESHERICHIAM COLI ALIA	DRUGA INFEKCIJA CRIJEVA, UZROČNIK ESCHERICHIA COLI	1	A04.4	Other intestinal Escherichia coli infections
A00-B99	A00-A09	A04.5	ENTERITIS CAMPYLOBACTERIALIS	ZAPALJENJE CRIJEVA, UZROČNIK CAMPYLOBACTER	1	A04.5	Campylobacter enteritis
A00-B99	A00-A09	A04.6	ENTERITIS YERSINIOSA ENTEROCOLITICA	ZAPALJENJE TANKOG CRIJEVA, UZROČNIK YERSINIA ENTEROCOLITICA	1	A04.6	Enteritis due to Yersinia enterocolitica
