XXI	preferred	Faktori koji utiču na zdravstveno stanje i kontakt sa zdravstvenom službom	
XXI	note	Ova grupa se ne koristi za međunarodno poređenje niti za primarnošifriranje smrtnosti.	
XXI	coding-hint	Kategorije Z00–Z99 se koriste u prilikama kada se kao „dijagnoze“ ili „problemi“ bilježe druga stanja, koja nijesu bolesti, povrede niti spoljašnji uzroci koji se mogu klasifikovati u kategorije A00–Y89. Ova potreba može nastati u dvije ključne situacije: a) Kada osoba koja može ili ne mora biti bolesna, kontaktira sa zdravstvenom službom iz određenih specifičnih razloga, kao što su pružanje ograničene njege ili usluge zbog aktuelnog stanja, davanje organa ili tkiva, primanje profilaktičke vakcine ili savjetovanje o problemu koji po sebi nije ni bolest ni povreda. b) Kad postoje određeni problemi ili okolnosti koji utiču na zdravstveno stanja osobe, ali nijesu aktuelna bolest niti povreda. Takvi faktori mogu biti uočeni tokom pregleda stanovništva, kada osoba može ali ne mora biti u tom momentu bolesna, ili mogu biti zabilježeni kao dodatni faktori na koje treba obratiti pažnju kada se osobi pruža zdravstvena zaštita zbog neke bolesti ili povrede.
Z00-Z13	preferred	Osobe u kontaktu sa zdravstvenom službom radi pregleda i ispitivanja	
Z00-Z13	note	Nespecifični i abnormalni nalazi otkriveni ovim pregledima klasifikuju se u kategorijama R70-R94	
Z00-Z13	exclusion	pregledi povezani sa trudnoćom i reprodukcijom Z30-Z36, Z39.-	
Z00	preferred	Opšti pregled i ispitivanje osoba bez tegoba ili postavljene dijagnoze	Opsti pregled i ispitivanje osoba bez tegoba ili postavljene dijagnoze
Z00	exclusion	Pregled u administrativne svrhe Z02.-	
Z00	exclusion	Poseban skrining pregled Z11-Z13	
Z00.0	preferred	Opšti medicinski pregled	Opsti medicinski pregled
Z00.0	inclusion	Provjera zdravstvenog stanja NOS	
Z00.0	inclusion	Periodični pregled (godišnji)(fizikalni)	
Z00.0	exclusion	Opšta provjera zdravstvenog stanja: definisanih subpopulacija Z10.-	
Z00.0	exclusion	Opšta provjera zdravstvenog stanja: odojčadi ili djece Z00.1	
Z00.1	preferred	Rutinski zdravstveni pregled djece	Rutinski zdravstveni pregled djece
Z00.1	inclusion	Provjera razvoja odojčeta ili djeteta	
Z00.1	exclusion	supervizija zdravstvenog stanja napuštenog djeteta ili drugog zdravog odojčeta ili djeteta Z76.1-Z76.2	
Z00.2	preferred	Pregled u periodu ubrzanog rasta u djetinjstvu	Pregled u periodu ubrzanog rasta u djetinjstvu
Z00.3	preferred	Pregled u adolescenciji	Pregled u adolescenciji
Z00.3	inclusion	Stanje razvoja u pubertetu	
Z00.4	preferred	Opšti psihijatrijski pregled, neklasifikovan na drugom mjestu	Opsti psihijatrijski pregled
Z00.4	exclusion	pregled koji se traži iz sudskomedicinskih razloga Z04.6	
Z00.5	preferred	Pregled potencijalnog davaoca organa ili tkiva	Pregled potencijalnog davaoca organa ili tkiva
Z00.6	preferred	Pregled za normalno poređenje i kontrolu u kliničkom istraživačkom programu	Pregled normalne osobe za poredjenje i kontrolu u klinickom istrazivackom programu
Z00.8	preferred	Drugi opšti pregledi	Drugi opsti pregledi
Z00.8	inclusion	Zdravstveni pregled prilikom populacionog istraživanja	
Z01	preferred	Drugi posebni pregledi i ispitivanja osoba bez tegoba ili ranije postavljene dijagnoze	Drugi posebni pregledi i ispitivanja osoba bez tegoba ili ranije dijagnoze
Z01	inclusion	rutinski pregled posebnog sistema	
Z01	exclusion	pregled zbog: administrativnih razloga Z02.-	
Z01	exclusion	pregled zbog: suspektnog stanja, nedokazanog Z03.-	
Z01	exclusion	Poseban skrining pregled Z11-Z13	
Z01.0	preferred	Pregledi očiju i vida	Pregledi ociju i vida
Z01.0	exclusion	pregled za vozačku dozvolu Z02.4	
Z01.1	preferred	Pregled ušiju i sluha	Pregled usiju i sluha
Z01.2	preferred	Pregled zuba	Pregled zuba
Z01.3	preferred	Pregled krvnog pritiska	Pregled krvnog pritiska
Z01.4	preferred	Ginekološki pregled (opšti)(rutinski)	Ginekoloski pregled (opsti)(rutinski)
Z01.4	inclusion	Papanikolau test	
Z01.4	inclusion	Pregled karlice (godišnji)(periodični)	
