XXII	preferred	Šifriranje za posebne namjene
U00-U49	preferred	Uslovno se dodjeljuje za nove bolesti nepoznate etiologije
U04	preferred	Teški akutni respiratorni sindrom (SARS)
U04.9	preferred	Teški akutni respiratorni sindrom (SARS), neoznačen
U80-U89	preferred	Bakterijski agensi rezistentni na antibiotike
U80-U89	note	Ova kategorija ne treba da se koristi za primarno šifriranje. One su obezbjeđene za dopunsko ili namjensko šifriranje  kada je poželjno identifikovati antibiotik na koji je bakterijski uzročnik otporan, u bakterijskoj infekciji koja je klasifikovana na drugom mjestu.
U80	preferred	Uzročnik otporan na betalaktamske antibiotike
U80.0	preferred	Uzročnik otporan na penicilin
U80.1	preferred	Uzročnik otporan na meticilin
U80.8	preferred	Uzročnik otporan na antibiotike srodne penicilinu
U81	preferred	Uzročnik otporan na vankomicin i srodne antibiotike
U81.0	preferred	Uzročnik otporan na vankomicin
U81.8	preferred	Uzročnik otporan na druge antibiotike srodne vankomicinu
U88	preferred	Uzročnik otporan na više antibiotika
U88	note	Ova kategorija je obezbjeđena za korišćenje kada je bakterijski uzročnik otporan na dva ili više antibiotika, ali ne postoji dovoljno podataka, da bi se utvrdilo koji antibiotik najviše doprinosi "glavnom stanju". Trebalo bi primarno da se koristi za tabelarni prikaz, kada je pogodnije da se dodijeli jedna šifra, u suprotnom svaki specifični uzročnik rezistentan na antibiotike treba šifrirati posebno
U89	preferred	Uzročnik otporan na druge i neoznačene antibiotike
U89.8	preferred	Uzročnik otporan na drugi označeni antibiotik
U89.9	preferred	Uzročnik otporan na neoznačeni antibiotik
