file: csv - 111: F04 vs. 
file: csv - 824: G63.0 vs. G63.8
file: csv - 830: M49.0 vs. M49.9
file: csv - 842: N51.- vs. N51
file: csv - 863: L93.- vs. L93
file: csv - 988: B92 vs. B92.-
file: csv - 1104: B37.7 vs. A37.7
file: csv - 1108: B00.7 vs. A00.7
file: csv - 1641: A86 vs. A86)
file: csv - 1642: A87.9 vs. A87.9)
file: csv - 1993: J67.- vs. B97.-
file: csv - 2240: I98.1 vs. I41.2
file: csv - 2276: H19.2 vs. I98.1
file: csv - 5220: N18.3 – N18.5 vs. N18.3 - N18.5
file: csv - 5592: O00-O99 vs. O00-O99)
file: csv - 5593: R00-R99 vs. R00-R99)
file: csv - 5594: P70-P74 vs. P70-P74)
file: csv - 5611: E00.- vs. E00
file: csv - 5746: E12.- vs. E12-
file: csv - 5765: E10.- vs. E10
file: csv - 5766: E12.- vs. E12-
file: csv - 5777: E10.- vs. E10
file: csv - 6729: F05.- vs. F05
file: csv - 6736: F20.- vs. F20
file: csv - 6867: F23.2 vs. F32.2
file: csv - 7921: F98.5 vs. F98.6
file: csv - 8056: B83.2 vs. 
file: csv - 8371: G50.1 vs. G50.
file: csv - 8618: P94.0 vs. P94.0)
file: csv - 8870: N18.5 vs. 
file: csv - 8872: P00-P96 vs. P00-P96)
file: csv - 8873: A00-B99 vs. A00-B99)
file: csv - 8874: O00-O99 vs. O00-O99)
file: csv - 8876: E00-E90 vs. E00-E90)
file: csv - 8877: S00-T98 vs. S00-T98)
file: csv - 8878: C00-D48 vs. C00-D48)
file: csv - 8879: R00-R99 vs. R00-R99)
file: csv - 9040: B02.3 vs. B02.8
file: csv - 9230: Z96.1 vs. Z96.1 !!!!
file: csv - 9305: H35.7 vs. H35.7 !!!!!!
file: csv - 9669: P00-P96 vs. P00-P96)
file: csv - 9670: A00-B99 vs. A00-B99)
file: csv - 9671: O00-O99 vs. O00-O99)
file: csv - 9673: E00-E90 vs. E00-E90)
file: csv - 9674: S00-T98 vs. S00-T98)
file: csv - 9675: C00-D48 vs. C00-D48)
file: csv - 9676: R00-R99 vs. R00-R99)
file: csv - 9711: M95.1 vs. M95.1)
file: csv - 9726: B44.8 vs. B44.8)
file: csv - 9727: B37.2 vs. B37.2)
file: csv - 9731: L01.- vs. L01.-)
file: csv - 9824: S09.2 vs. S09.2)
file: csv - 9871: A88.1 vs. A88.1)
file: csv - 9928: H61.2 vs. H61.2)
file: csv - 9967: A52.1 vs. A52.1)
file: csv - 9978: P00-P96 vs. P00-P96)
file: csv - 9979: A00-B99 vs. A00-B99)
file: csv - 9980: O00-O99 vs. O00-O99)
file: csv - 9981: Q00-Q99 vs. Q00-Q99)
file: csv - 9982: E00-E90 vs. E00-E90)
file: csv - 9983: S00-T98 vs. S00-T98)
file: csv - 9984: C00-D48 vs. C00-D48)
file: csv - 9985: R00-R99 vs. R00-R99)
file: csv - 9986: M30-M36 vs. M30-M36)
file: csv - 9987: G45.- vs. G45.-)
file: csv - 10012: G10 vs. G10)
file: csv - 10021: I34.- vs. I34.-)
file: csv - 10034: I35.- vs. I35.-)
file: csv - 10047: I36.- vs. I36.-)
file: csv - 10060: I09.1 vs. I09.1)
file: csv - 10070: I51.4 vs. I51.4)
file: csv - 10088: I20-I25 vs. I20-I25)
file: csv - 10131: I10-I15 vs. I10-I15)
file: csv - 10157: I25.8 vs. I25.8)
file: csv - 10159: I24.1 vs. I24.1-
file: csv - 10191: I25.8 vs. I25.8)
file: csv - 10215: I51.- vs. I51
file: csv - 10269: O88.- vs. O88.-)
file: csv - 10336: M05.3 vs. M05.3)
file: csv - 10374: Q23.0 vs. Q23.2
file: csv - 10374: Q23.1 vs. Q23.3
file: csv - 10414: I09.1 vs. I091
file: csv - 10529: R94.3 vs. R94.3)
